task_family,item_id,gold_answer,option_label,option_text,option_role,control_type,relation_to_target,gold_answer_text
indirect_geoeconomic_intent,indirect_geoeconomic_intent_01,B,A,Lower procurement costs by encouraging firms to concentrate orders through the most efficient single foreign supplier,control,adjacent_pragmatic_force_control,distractor,Reduce the risk that disruptions affecting a narrow supplier base could impair continuity in critical sectors
indirect_geoeconomic_intent,indirect_geoeconomic_intent_01,B,B,Reduce the risk that disruptions affecting a narrow supplier base could impair continuity in critical sectors,target,target,gold_answer,Reduce the risk that disruptions affecting a narrow supplier base could impair continuity in critical sectors
indirect_geoeconomic_intent,indirect_geoeconomic_intent_01,B,C,Encourage firms to diversify sourcing mainly to improve routine market flexibility and price adjustment capacity,control,procedural_or_technical_control,distractor,Reduce the risk that disruptions affecting a narrow supplier base could impair continuity in critical sectors
indirect_geoeconomic_intent,indirect_geoeconomic_intent_01,B,D,Increase public oversight of procurement in sectors where concentrated supplier dependence could create strategic exposure,control,adjacent_pragmatic_force_control,distractor,Reduce the risk that disruptions affecting a narrow supplier base could impair continuity in critical sectors
indirect_geoeconomic_intent,indirect_geoeconomic_intent_02,C,A,Improve exchange-rate signaling in order to attract more short-term portfolio inflows,control,adjacent_pragmatic_force_control,distractor,Reduce exposure to external financial chokepoints created by dependence on dominant third-country currency routes
indirect_geoeconomic_intent,indirect_geoeconomic_intent_02,C,B,Expand bilateral liquidity and settlement backstops in order to reduce payment instability during periods of external financial stress,control,adjacent_pragmatic_force_control,distractor,Reduce exposure to external financial chokepoints created by dependence on dominant third-country currency routes
indirect_geoeconomic_intent,indirect_geoeconomic_intent_02,C,C,Reduce exposure to external financial chokepoints created by dependence on dominant third-country currency routes,target,target,gold_answer,Reduce exposure to external financial chokepoints created by dependence on dominant third-country currency routes
indirect_geoeconomic_intent,indirect_geoeconomic_intent_02,C,D,Require exporters to rely primarily on domestic-currency settlement rather than routine foreign-currency invoicing,control,procedural_or_technical_control,distractor,Reduce exposure to external financial chokepoints created by dependence on dominant third-country currency routes
indirect_geoeconomic_intent,indirect_geoeconomic_intent_03,D,A,Commit to granting foreign investors the same approval standard regardless of asset sensitivity,control,adjacent_pragmatic_force_control,distractor,Preserve a pro-investment posture while retaining case-by-case discretion over whether strategically sensitive assets receive approval
indirect_geoeconomic_intent,indirect_geoeconomic_intent_03,D,B,Reassure markets that the government intends to accelerate broader private participation in transport infrastructure,control,adjacent_pragmatic_force_control,distractor,Preserve a pro-investment posture while retaining case-by-case discretion over whether strategically sensitive assets receive approval
